recipe_id,date,bookmark_name,author_id,author_name,book_id,recipe_name,title
1714414,2017-01-01,I've cooked this,956.0,Jamie Oliver,174565.0,"Chicken fajitas, smoky dressed aubergines & peppers",Super Food Family Classics
2159890,2017-01-01,I've cooked this,1387.0,Linda Collister,176929.0,Chocolate and raspberry terrine,The Great British Bake Off: Perfect Cakes & Bakes to Make at Home: Over 100 Recipes from Simple to Showstopping Bakes and Cakes
909867,2017-01-01,I've cooked this,22393.0,Paul Hollywood,104953.0,Courgette tart with roasted tomato coulis,How to Bake
769307,2017-01-01,I've cooked this,42640.0,Béatrice Peltre,101182.0,Radicchio risotto,La Tartine Gourmande: Recipes for an Inspired Life
1714997,2017-01-01,I've cooked this,956.0,Jamie Oliver,174565.0,"Sag aloo korma, sweet potatoes, chard & chickpeas",Super Food Family Classics
909808,2017-01-01,I've cooked this,22393.0,Paul Hollywood,104953.0,Smoked salmon cheesecake with lemon vodka,How to Bake
909808,2019-03-01,I've cooked this,22393.0,Paul Hollywood,104953.0,Smoked salmon cheesecake with lemon vodka,How to Bake
1715811,2017-01-01,I've cooked this,956.0,Jamie Oliver,174565.0,"Super leek & potato soup, herb, Parmesan & almond toasts",Super Food Family Classics
1715811,2017-02-01,I've cooked this,956.0,Jamie Oliver,174565.0,"Super leek & potato soup, herb, Parmesan & almond toasts",Super Food Family Classics
1715811,2017-11-01,I've cooked this,956.0,Jamie Oliver,174565.0,"Super leek & potato soup, herb, Parmesan & almond toasts",Super Food Family Classics
1715811,2017-12-01,I've cooked this,956.0,Jamie Oliver,174565.0,"Super leek & potato soup, herb, Parmesan & almond toasts",Super Food Family Classics
1714989,2017-01-01,I've cooked this,956.0,Jamie Oliver,174565.0,"Super salad platter, avo, sweet potatoes, broccoli & beets",Super Food Family Classics
1716074,2017-01-01,I've cooked this,956.0,Jamie Oliver,174565.0,"Super-quick batch pesto, nuts, Parmesan & loadsa basil",Super Food Family Classics
2023433,2017-01-01,I've cooked this,12631.0,Yotam Ottolenghi,186630.0,Sweet and salty cheesecake with cherries,Ottolenghi Simple: A Cookbook
2023433,2019-08-01,I've cooked this,12631.0,Yotam Ottolenghi,186630.0,Sweet and salty cheesecake with cherries,Ottolenghi Simple: A Cookbook
903130,2017-01-01,I've cooked this,22393.0,Paul Hollywood,104953.0,Wholemeal loaf,How to Bake
1531584,2017-02-01,I've cooked this,1786.0,Nigella Lawson,167203.0,Crunchy chicken cutlets,Simply Nigella: Feel Good Food
2023151,2017-02-01,I've cooked this,12631.0,Yotam Ottolenghi,186630.0,Hot charred cherry tomatoes with cold yoghurt,Ottolenghi Simple: A Cookbook
2023151,2018-10-01,I've cooked this,12631.0,Yotam Ottolenghi,186630.0,Hot charred cherry tomatoes with cold yoghurt,Ottolenghi Simple: A Cookbook
2023151,2018-12-01,I've cooked this,12631.0,Yotam Ottolenghi,186630.0,Hot charred cherry tomatoes with cold yoghurt,Ottolenghi Simple: A Cookbook
1531561,2017-02-01,I've cooked this,1786.0,Nigella Lawson,167203.0,Indian-spiced cod,Simply Nigella: Feel Good Food
1532408,2017-02-01,I've cooked this,1786.0,Nigella Lawson,167203.0,Leek pasta bake,Simply Nigella: Feel Good Food
